name,url,country,article_title,revision_id,quality_score
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Ghulam_Hassan_Safi,1176507815,Stub
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Hanifa_Safi,1123824802,Stub
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Mohammed_Zia_Salehi,1225457074,Stub
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Abdul_Majid_Samim,1225425205,Stub
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Saber_Sangar,1227951669,Start
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Sayed_Nasim_Mihanparast,1172646418,GA
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Suhail_Shaheen,1198363158,Stub
Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,Fazal_Hadi_Shinwari,1242412237,Stub
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Baktash_Siawash,1250972393,Stub
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Hasan_Ali_Sultani,1136614726,Stub
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Mohammad_Hashem_Taufiqui,1233490009,Start
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Pacha_Gul_Wafadar,1227179979,Stub
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,Wahidullah_Waissi,1232389768,Start
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,Ahmadullah_Wasiq,1171042170,Stub
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Gul_Ahmmad_Yama,1136614561,Start
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,Abdul_Salam_Zaeef,1243758857,Start
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Abdul_Zahir_(Konar_Education_Minister),1126667481,C
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Mohammed_Zaman,1229734414,GA
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Ziauddin_(Afghan_militia_leader),1150044800,Stub
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Qari_Ziauddin,1245217124,Start
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Abdul_Ghafor_Zori,1136614520,Start
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,Ali_Pasha_of_Gusinje,1244421894,Start
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Ylli_Asllani,1221605713,C
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Azis_Tahir_Ajdonati,1192928746,Stub
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,Bislim_Bajgora,1217284690,GA
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Kastriot_Berissa,1244463139,C
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,Bardhok_Biba,1250227174,Start
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,Kostandin_Boshnjaku,1250227994,Start
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Spartak_Braho,1224650124,Start
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,Safet_Butka,1189442848,Start
